game_id,period,teamTricode,period_points,possessions,major_runs,run_points,pts_per_poss,game_control_index
S2324-G0014,3,DAL,38.0,29,0,144.0,1.2666666666666666,0.9039999999999999
S2324-G0014,3,LAC,38.0,27,0,126.0,1.3571428571428572,0.9402857142857143
S2324-G0014,4,DAL,29.0,19,0,144.0,1.45,1.014
S2324-G0014,4,LAC,37.0,24,0,126.0,1.48,1.014
S2324-G0015,1,LAL,25.0,29,0,122.0,0.8333333333333334,0.622
S2324-G0015,1,PHX,34.0,26,0,119.0,1.2592592592592593,0.8745555555555555
S2324-G0015,2,LAL,30.0,23,0,122.0,1.25,0.872
S2324-G0015,2,PHX,29.0,27,0,119.0,1.0357142857142858,0.7404285714285714
S2324-G0015,3,LAL,34.0,21,0,122.0,1.5454545454545454,1.0492727272727271
S2324-G0015,3,PHX,33.0,19,0,119.0,1.65,1.109
S2324-G0015,4,LAL,33.0,23,0,122.0,1.375,0.947
S2324-G0015,4,PHX,23.0,22,0,119.0,1.0,0.719
S2324-G0016,1,OKC,20.0,22,0,98.0,0.8695652173913043,0.6197391304347826
S2324-G0016,1,SAC,34.0,25,0,105.0,1.3076923076923077,0.8896153846153846
S2324-G0016,2,OKC,22.0,20,0,98.0,1.0476190476190477,0.7265714285714285
S2324-G0016,2,SAC,19.0,24,0,105.0,0.76,0.5609999999999999
S2324-G0016,3,OKC,28.0,26,0,98.0,1.037037037037037,0.7202222222222221
S2324-G0016,3,SAC,22.0,27,0,105.0,0.7857142857142857,0.5764285714285714
S2324-G0016,4,OKC,28.0,24,0,98.0,1.12,0.77
S2324-G0016,4,SAC,30.0,28,0,105.0,1.0344827586206897,0.7256896551724138
S2324-G0017,1,CHA,32.0,21,0,105.0,1.4545454545454546,0.9777272727272727
S2324-G0017,1,MIA,24.0,21,0,111.0,1.0909090909090908,0.7655454545454544
S2324-G0017,2,CHA,16.0,25,0,105.0,0.6153846153846154,0.47423076923076923
S2324-G0017,2,MIA,33.0,28,0,111.0,1.1379310344827587,0.7937586206896552
S2324-G0017,3,CHA,32.0,17,0,105.0,1.7777777777777777,1.1716666666666666
S2324-G0017,3,MIA,30.0,18,0,111.0,1.5789473684210527,1.0583684210526316
S2324-G0017,4,CHA,25.0,20,0,105.0,1.1904761904761905,0.8192857142857143
S2324-G0017,4,MIA,24.0,19,0,111.0,1.2,0.831
S2324-G0018,1,ATL,38.0,26,0,126.0,1.4074074074074074,0.9704444444444444
S2324-G0018,1,DET,29.0,26,0,120.0,1.0740740740740742,0.7644444444444445
S2324-G0018,2,ATL,26.0,23,0,126.0,1.0833333333333333,0.7759999999999999
S2324-G0018,2,DET,31.0,25,0,120.0,1.1923076923076923,0.8353846153846154
S2324-G0018,3,ATL,33.0,25,0,126.0,1.2692307692307692,0.8875384615384615
S2324-G0018,3,DET,31.0,26,0,120.0,1.1481481481481481,0.8088888888888889
S2324-G0018,4,ATL,29.0,23,0,126.0,1.2083333333333333,0.851
S2324-G0018,4,DET,29.0,24,0,120.0,1.16,0.816
S2324-G0019,1,IND,36.0,24,0,132.0,1.44,0.996
S2324-G0019,1,PHI,30.0,26,0,126.0,1.1111111111111112,0.7926666666666666
S2324-G0019,2,IND,27.0,26,0,132.0,1.0,0.732
S2324-G0019,2,PHI,24.0,24,0,126.0,0.96,0.702
S2324-G0019,3,IND,32.0,28,0,132.0,1.103448275862069,0.7940689655172414
S2324-G0019,3,PHI,40.0,25,0,126.0,1.5384615384615385,1.0490769230769232
S2324-G0019,4,IND,37.0,25,0,132.0,1.4230769230769231,0.9858461538461538
S2324-G0019,4,PHI,32.0,25,0,126.0,1.2307692307692308,0.8644615384615385
S2324-G0020,1,BKN,33.0,26,0,124.0,1.2222222222222223,0.8573333333333334
S2324-G0020,1,ORL,24.0,25,0,104.0,0.9230769230769231,0.6578461538461539
S2324-G0020,2,BKN,24.0,23,0,124.0,1.0,0.724
S2324-G0020,2,ORL,36.0,24,0,104.0,1.44,0.968
S2324-G0020,3,BKN,31.0,26,0,124.0,1.1481481481481481,0.8128888888888889
S2324-G0020,3,ORL,26.0,22,0,104.0,1.1304347826086956,0.7822608695652173
S2324-G0020,4,BKN,36.0,25,0,124.0,1.3846153846153846,0.9547692307692307
