game_id,playerNameI,period,y_true_drop,y_pred_drop,severity,reason
S2324-G0082,G. Trent Jr.,4,31.742650103519665,19.891433915575075,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0082,P. Siakam,3,11.044175824175822,9.189744419770085,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0087,K. Murray,3,12.958888888888888,9.0607930560492,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0087,K. Thompson,3,12.852380952380951,11.378785973246057,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0087,S. Curry,3,18.30555555555555,16.263091164326173,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0089,C. Kispert,2,36.75739750445633,20.159960638501623,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0089,D. Avdija,2,10.537272727272724,8.531707596518924,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0089,D. Bane,3,-2.953333333333333,11.706783700019376,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0089,J. Poole,3,23.17233082706767,20.9053853675022,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0089,K. Kuzma,1,8.282251082251085,9.295144537592824,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0089,T. Jones,3,12.777777777777777,9.072900747335533,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0097,B. Bogdanovic,2,20.417307692307695,10.966053630089506,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0097,C. Capela,1,15.657575757575756,9.54647768610462,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0097,D. Hunter,3,15.324761904761903,11.2550759410091,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0097,D. Murray,2,13.816666666666666,10.433206885885602,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0097,J. Johnson,2,20.4275,8.030412563030742,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0102,D. DeRozan,3,4.727960927960929,12.480030253740448,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0102,N. Vucevic,1,15.422987012987011,9.112255106956004,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0102,N. Vucevic,3,9.28860962566845,11.454239313461802,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0102,T. Haliburton,1,7.760000000000002,9.14335957689984,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,C. McCollum,2,11.316872800402209,20.39144374393448,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,C. McCollum,3,20.840392156862745,8.501163005796085,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,G. Payton II,2,20.717307692307692,12.929603265983836,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,M. Moody,3,10.893939393939393,8.00030610645469,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,S. Curry,1,25.666666666666664,17.669354419896678,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,S. Curry,3,-2.0712287712287747,12.21848273711179,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0108,Z. Williamson,1,18.714285714285715,13.933210355714818,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0110,A. Gordon,2,13.070476190476192,7.925580395093101,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0110,J. Collins,2,16.123376623376622,11.179507675783723,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0110,J. Murray,1,17.76666666666667,14.22788231750068,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0110,L. Markkanen,3,11.680183868419164,17.989848377346085,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0114,G. Harris,2,11.783333333333331,8.035580320322637,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0114,N. Powell,2,19.257142857142856,9.0421311258811,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0114,P. George,3,22.535714285714285,14.728598582921563,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0114,R. Westbrook,3,36.95823894775301,21.71414133289323,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0124,D. DeRozan,3,14.96095238095238,10.9636550837483,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0124,D. Jones Jr.,3,16.2993894993895,11.357668222010483,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0124,G. Williams,1,13.903030303030302,8.09213956935426,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0124,T. Hardaway Jr.,3,3.3000000000000007,8.46743850202213,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0124,Z. LaVine,1,3.466666666666669,10.512818239553887,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0129,A. Thompson,1,14.652852049910871,11.466680553563725,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0129,C. McCollum,1,-13.680311355311355,9.303069313784093,HIGH,Predicted next-period drop in performance (fatigue risk).
